upper,lower,stop_loss_pct,Sharpe,TotalRet,MaxDraw,WinRate
1.1,0.6,0.5,7.234872662230146,33483.145517711826,1695.9042222801436,0.7722222222222223
1.1,0.6,1.0,7.224063813882018,33464.67836938172,1695.9042222801436,0.7722222222222223
1.1,0.6,1.5,7.939251603804036,35221.62476830396,1602.5169052566962,0.7722222222222223
1.1,0.7,0.5,1.3913424903152627,9213.30556283928,5421.122780859158,0.6205357142857143
1.1,0.7,1.0,1.3917792946706642,9226.515444766286,5692.502874626742,0.6205357142857143
1.1,0.7,1.5,2.0857486777654506,13197.76733837794,4268.074352244926,0.6205357142857143
1.1,0.8,0.5,-1.2621598619708736,-9895.346443965234,15926.10597437587,0.5366795366795367
1.1,0.8,1.0,-1.2652395981165583,-9937.045667235787,16419.038017257222,0.5366795366795367
1.1,0.8,1.5,-0.5852440559639535,-4389.645083038441,13066.34134271642,0.5366795366795367
1.1,0.9,0.5,-3.070262658227423,-26982.5544220533,30764.5807983291,0.4793103448275862
1.1,0.9,1.0,-3.0730455243632866,-27063.934591303136,30906.398752273533,0.4793103448275862
1.1,0.9,1.5,-2.3814810516597658,-20024.309921943885,23929.131386505236,0.4793103448275862
1.2,0.6,0.5,4.10719961084548,15682.32639462637,2035.7289480598338,0.6962962962962963
1.2,0.6,1.0,4.0982886607288975,15663.85924629626,2035.7289480598338,0.6962962962962963
1.2,0.6,1.5,4.758660144383593,17420.8056452185,1851.4316214339042,0.6962962962962963
1.2,0.7,0.5,-1.5703832993972877,-8587.513560246178,11919.399101111807,0.5251396648044693
1.2,0.7,1.0,-1.5658674621816377,-8574.303678319171,12231.405485999105,0.5251396648044693
1.2,0.7,1.5,-0.8801818922914599,-4603.051784707508,9474.05378114173,0.5251396648044693
1.2,0.8,0.5,-4.276788154280734,-27696.165567050684,30350.147077288457,0.4392523364485981
1.2,0.8,1.0,-4.274391417830988,-27737.864790321244,30452.284085253614,0.4392523364485981
1.2,0.8,1.5,-3.577842195390669,-22190.464206123885,25001.623559401465,0.4392523364485981
1.2,0.9,0.5,-6.168385872054347,-44783.37354513876,46912.249629982274,0.3836734693877551
1.2,0.9,1.0,-6.1643368314574865,-44864.753714388586,47054.06758392669,0.3836734693877551
1.2,0.9,1.5,-5.438407294946102,-37825.12904502933,40014.44291456744,0.3836734693877551
1.3,0.6,0.5,0.5989316828090063,1829.573536879272,3710.83571072104,0.594059405940594
1.3,0.6,1.0,0.5922428273981627,1811.1063885491621,3890.174176922622,0.594059405940594
1.3,0.6,1.5,1.2178696513082479,3568.0527874714035,3138.5500538396636,0.594059405940594
1.3,0.7,0.5,-5.127835078655644,-22440.266417993276,23141.295064633032,0.41379310344827586
1.3,0.7,1.0,-5.115909582266593,-22427.056536066266,23188.52296740062,0.41379310344827586
1.3,0.7,1.5,-4.404235927252447,-18455.80464245461,19226.741636846124,0.41379310344827586
1.3,0.8,0.5,-8.016590255256732,-41548.9184247978,42249.94707143755,0.3333333333333333
1.3,0.8,1.0,-8.003799703867198,-41590.61764806834,42352.084079402695,0.3333333333333333
1.3,0.8,1.5,-7.248873066464674,-36043.21706387098,36804.68349520533,0.3333333333333333
1.3,0.9,0.5,-10.090800950349914,-58636.12640288588,59032.39742397457,0.2843601895734597
1.3,0.9,1.0,-10.07321407316678,-58717.50657213572,59174.21537791901,0.2843601895734597
1.3,0.9,1.5,-9.264198391855937,-51677.881902776426,52134.59070855972,0.2843601895734597
1.4,0.6,0.5,-3.9895011046837747,-9089.534751873249,11162.085119150708,0.44594594594594594
1.4,0.6,1.0,-3.9924690831832272,-9108.001900203362,11180.552267480822,0.44594594594594594
1.4,0.6,1.5,-3.3610387134176753,-7351.05550128112,9423.605868558578,0.44594594594594594
1.4,0.7,0.5,-10.219008098370539,-33359.374706745795,33282.488407114615,0.2796610169491525
1.4,0.7,1.0,-10.188228670320537,-33346.16482481879,33329.716309882206,0.2796610169491525
1.4,0.7,1.5,-9.369332351067625,-29374.91293120713,29358.464416270548,0.2796610169491525
1.4,0.8,0.5,-13.568905119099771,-52468.0267135503,52391.14041391912,0.21568627450980393
1.4,0.8,1.0,-13.528467159354301,-52509.725936820854,52493.27742188427,0.21568627450980393
1.4,0.8,1.5,-12.610600086083217,-46962.32535262349,46945.876837686905,0.21568627450980393
1.4,0.9,0.5,-16.041781890063977,-69555.23469163838,69478.3483920072,0.1793478260869565
1.4,0.9,1.0,-15.987099754918662,-69636.61486088822,69620.16634595164,0.1793478260869565
1.4,0.9,1.5,-14.969455703756203,-62596.990191528945,62580.54167659236,0.1793478260869565
